comparison,label,code,group_a,group_b,n_a,n_b,cos_mean,cos_std,euc_mean,euc_std,icc,therapist,n
within_therapist,patient_imp,,AC06V1T2_with_predictions.csv,AC06V2T2_with_predictions.csv,3.0,1.0,0.4654,0.0907,1.0302,0.0887,,2,
within_therapist,patient_imp,,AC06V1T2_with_predictions.csv,AC08V1T2_with_predictions.csv,3.0,6.0,0.4211,0.0591,1.0747,0.0545,-0.5602,2,
within_therapist,patient_imp,,AC06V1T2_with_predictions.csv,AC08V2T2_with_predictions.csv,3.0,8.0,0.4656,0.0343,1.0333,0.0335,-0.6901,2,
within_therapist,patient_imp,,AC06V1T2_with_predictions.csv,AC12V1T2_with_predictions.csv,3.0,2.0,0.4408,0.047,1.0566,0.0446,-0.503,2,
within_therapist,patient_imp,,AC06V1T2_with_predictions.csv,AC12V2T2_with_predictions.csv,3.0,1.0,0.4594,0.0537,1.0385,0.0524,,2,
within_therapist,patient_imp,,AC06V2T2_with_predictions.csv,AC08V1T2_with_predictions.csv,1.0,6.0,0.4496,0.0359,1.0487,0.0339,,2,
within_therapist,patient_imp,,AC06V2T2_with_predictions.csv,AC08V2T2_with_predictions.csv,1.0,8.0,0.4794,0.035,1.0198,0.0339,,2,
within_therapist,patient_imp,,AC06V2T2_with_predictions.csv,AC12V1T2_with_predictions.csv,1.0,2.0,0.5863,0.1367,0.8967,0.1524,,2,
within_therapist,patient_imp,,AC06V2T2_with_predictions.csv,AC12V2T2_with_predictions.csv,1.0,1.0,0.724,0.0,0.7429,0.0,,2,
within_therapist,patient_imp,,AC08V1T2_with_predictions.csv,AC08V2T2_with_predictions.csv,6.0,8.0,0.5588,0.1053,0.9318,0.1186,-0.0519,2,
within_therapist,patient_imp,,AC08V1T2_with_predictions.csv,AC12V1T2_with_predictions.csv,6.0,2.0,0.4553,0.0789,1.0408,0.0779,-29.1659,2,
within_therapist,patient_imp,,AC08V1T2_with_predictions.csv,AC12V2T2_with_predictions.csv,6.0,1.0,0.4677,0.0713,1.0295,0.0693,,2,
within_therapist,patient_imp,,AC08V2T2_with_predictions.csv,AC12V1T2_with_predictions.csv,8.0,2.0,0.5034,0.0556,0.995,0.0563,-0.2937,2,
within_therapist,patient_imp,,AC08V2T2_with_predictions.csv,AC12V2T2_with_predictions.csv,8.0,1.0,0.5212,0.0461,0.9774,0.0481,,2,
within_therapist,patient_imp,,AC12V1T2_with_predictions.csv,AC12V2T2_with_predictions.csv,2.0,1.0,0.6203,0.1576,0.8516,0.1851,,2,
within_therapist,patient_imp,,AC14V1T3_with_predictions.csv,AC14V2T3_with_predictions.csv,4.0,3.0,0.5567,0.0675,0.9388,0.0729,-0.248,3,
within_therapist,patient_imp,,AC17V1T5_with_predictions.csv,AC17V2T5_with_predictions.csv,8.0,3.0,0.4822,0.0649,1.0157,0.0639,-0.2398,5,
within_therapist,therapist_imp,,AC02V1T1_with_predictions.csv,AC02V2T1_with_predictions.csv,17.0,15.0,0.674,0.0682,0.803,0.0846,-0.1494,1,
within_therapist,therapist_imp,,AC02V1T1_with_predictions.csv,AC03V1T1_with_predictions.csv,17.0,13.0,0.6482,0.0621,0.8307,0.0778,-0.2937,1,
within_therapist,therapist_imp,,AC02V1T1_with_predictions.csv,AC03V2T1_with_predictions.csv,17.0,21.0,0.6257,0.077,0.8609,0.0867,-0.239,1,
within_therapist,therapist_imp,,AC02V1T1_with_predictions.csv,AC04V1T1_with_predictions.csv,17.0,16.0,0.6153,0.0757,0.8728,0.0871,-0.2869,1,
within_therapist,therapist_imp,,AC02V1T1_with_predictions.csv,AC04V2T1_with_predictions.csv,17.0,16.0,0.6339,0.0784,0.8509,0.0898,-0.2304,1,
within_therapist,therapist_imp,,AC02V1T1_with_predictions.csv,AC05V1T1_with_predictions.csv,17.0,20.0,0.6152,0.0649,0.8742,0.0741,-0.2049,1,
within_therapist,therapist_imp,,AC02V1T1_with_predictions.csv,AC05V2T1_with_predictions.csv,17.0,21.0,0.643,0.0702,0.841,0.0825,-0.3039,1,
within_therapist,therapist_imp,,AC02V1T1_with_predictions.csv,AC09V1T1_with_predictions.csv,17.0,10.0,0.6528,0.045,0.8243,0.0596,-0.0911,1,
within_therapist,therapist_imp,,AC02V1T1_with_predictions.csv,AC09V2T1_with_predictions.csv,17.0,11.0,0.6018,0.0785,0.8881,0.0882,-0.3396,1,
within_therapist,therapist_imp,,AC02V1T1_with_predictions.csv,AC11V1T1_with_predictions.csv,17.0,16.0,0.6512,0.057,0.8324,0.0688,-0.1212,1,
within_therapist,therapist_imp,,AC02V1T1_with_predictions.csv,AC11V2T1_with_predictions.csv,17.0,16.0,0.6347,0.0732,0.8506,0.084,-0.2855,1,
within_therapist,therapist_imp,,AC02V1T1_with_predictions.csv,AC13V1T1_with_predictions.csv,17.0,12.0,0.6558,0.0542,0.8271,0.066,-0.4162,1,
within_therapist,therapist_imp,,AC02V1T1_with_predictions.csv,AC13V2T1_with_predictions.csv,17.0,17.0,0.644,0.0729,0.8357,0.0887,-0.1541,1,
within_therapist,therapist_imp,,AC02V1T1_with_predictions.csv,AC18V1T1_with_predictions.csv,17.0,13.0,0.6417,0.0669,0.8429,0.0781,-0.3579,1,
within_therapist,therapist_imp,,AC02V1T1_with_predictions.csv,AC18V2T1_with_predictions.csv,17.0,9.0,0.647,0.0458,0.8384,0.0549,-0.1969,1,
within_therapist,therapist_imp,,AC02V2T1_with_predictions.csv,AC03V1T1_with_predictions.csv,15.0,13.0,0.6606,0.0775,0.814,0.0949,0.3252,1,
within_therapist,therapist_imp,,AC02V2T1_with_predictions.csv,AC03V2T1_with_predictions.csv,15.0,21.0,0.6408,0.0905,0.841,0.1052,-0.0838,1,
within_therapist,therapist_imp,,AC02V2T1_with_predictions.csv,AC04V1T1_with_predictions.csv,15.0,16.0,0.6199,0.0772,0.8673,0.0895,-0.2339,1,
within_therapist,therapist_imp,,AC02V2T1_with_predictions.csv,AC04V2T1_with_predictions.csv,15.0,16.0,0.6334,0.0874,0.8504,0.1001,-0.1586,1,
within_therapist,therapist_imp,,AC02V2T1_with_predictions.csv,AC05V1T1_with_predictions.csv,15.0,20.0,0.6237,0.0671,0.8641,0.0774,-0.0127,1,
within_therapist,therapist_imp,,AC02V2T1_with_predictions.csv,AC05V2T1_with_predictions.csv,15.0,21.0,0.6493,0.079,0.8321,0.0945,-0.3231,1,
within_therapist,therapist_imp,,AC02V2T1_with_predictions.csv,AC09V1T1_with_predictions.csv,15.0,10.0,0.6594,0.0593,0.815,0.0742,0.1905,1,
within_therapist,therapist_imp,,AC02V2T1_with_predictions.csv,AC09V2T1_with_predictions.csv,15.0,11.0,0.6085,0.0823,0.8799,0.0932,-0.2593,1,
within_therapist,therapist_imp,,AC02V2T1_with_predictions.csv,AC11V1T1_with_predictions.csv,15.0,16.0,0.6613,0.0707,0.8185,0.0871,0.3382,1,
within_therapist,therapist_imp,,AC02V2T1_with_predictions.csv,AC11V2T1_with_predictions.csv,15.0,16.0,0.6414,0.0837,0.8413,0.0971,-0.3182,1,
within_therapist,therapist_imp,,AC02V2T1_with_predictions.csv,AC13V1T1_with_predictions.csv,15.0,12.0,0.67,0.0644,0.8085,0.079,0.0442,1,
within_therapist,therapist_imp,,AC02V2T1_with_predictions.csv,AC13V2T1_with_predictions.csv,15.0,17.0,0.6609,0.0786,0.8143,0.0964,-0.0245,1,
within_therapist,therapist_imp,,AC02V2T1_with_predictions.csv,AC18V1T1_with_predictions.csv,15.0,13.0,0.6608,0.082,0.8178,0.0982,-0.1328,1,
within_therapist,therapist_imp,,AC02V2T1_with_predictions.csv,AC18V2T1_with_predictions.csv,15.0,9.0,0.6588,0.0649,0.8222,0.0792,-0.3216,1,
within_therapist,therapist_imp,,AC03V1T1_with_predictions.csv,AC03V2T1_with_predictions.csv,13.0,21.0,0.6544,0.0937,0.8194,0.115,-0.2241,1,
within_therapist,therapist_imp,,AC03V1T1_with_predictions.csv,AC04V1T1_with_predictions.csv,13.0,16.0,0.6197,0.089,0.8612,0.1064,-0.4012,1,
within_therapist,therapist_imp,,AC03V1T1_with_predictions.csv,AC04V2T1_with_predictions.csv,13.0,16.0,0.6263,0.082,0.8547,0.0981,-0.0752,1,
within_therapist,therapist_imp,,AC03V1T1_with_predictions.csv,AC05V1T1_with_predictions.csv,13.0,20.0,0.6113,0.0717,0.873,0.0876,-0.1824,1,
within_therapist,therapist_imp,,AC03V1T1_with_predictions.csv,AC05V2T1_with_predictions.csv,13.0,21.0,0.6353,0.0792,0.8445,0.0975,-0.3886,1,
within_therapist,therapist_imp,,AC03V1T1_with_predictions.csv,AC09V1T1_with_predictions.csv,13.0,10.0,0.676,0.0663,0.7895,0.0919,0.4172,1,
within_therapist,therapist_imp,,AC03V1T1_with_predictions.csv,AC09V2T1_with_predictions.csv,13.0,11.0,0.5977,0.0879,0.8866,0.1048,0.1291,1,
within_therapist,therapist_imp,,AC03V1T1_with_predictions.csv,AC11V1T1_with_predictions.csv,13.0,16.0,0.6502,0.0817,0.826,0.1022,-0.1938,1,
within_therapist,therapist_imp,,AC03V1T1_with_predictions.csv,AC11V2T1_with_predictions.csv,13.0,16.0,0.6459,0.0769,0.8319,0.094,-0.088,1,
within_therapist,therapist_imp,,AC03V1T1_with_predictions.csv,AC13V1T1_with_predictions.csv,13.0,12.0,0.6511,0.0724,0.8261,0.0896,-0.3631,1,
within_therapist,therapist_imp,,AC03V1T1_with_predictions.csv,AC13V2T1_with_predictions.csv,13.0,17.0,0.6425,0.0874,0.8307,0.1137,-0.1214,1,
within_therapist,therapist_imp,,AC03V1T1_with_predictions.csv,AC18V1T1_with_predictions.csv,13.0,13.0,0.6629,0.0833,0.8103,0.1029,-0.3931,1,
within_therapist,therapist_imp,,AC03V1T1_with_predictions.csv,AC18V2T1_with_predictions.csv,13.0,9.0,0.6467,0.0681,0.8317,0.0854,-0.8389,1,
within_therapist,therapist_imp,,AC03V2T1_with_predictions.csv,AC04V1T1_with_predictions.csv,21.0,16.0,0.6075,0.0906,0.88,0.1029,-0.319,1,
within_therapist,therapist_imp,,AC03V2T1_with_predictions.csv,AC04V2T1_with_predictions.csv,21.0,16.0,0.6133,0.0969,0.8726,0.1094,-0.3713,1,
within_therapist,therapist_imp,,AC03V2T1_with_predictions.csv,AC05V1T1_with_predictions.csv,21.0,20.0,0.5972,0.0852,0.8925,0.0948,-0.3333,1,
within_therapist,therapist_imp,,AC03V2T1_with_predictions.csv,AC05V2T1_with_predictions.csv,21.0,21.0,0.619,0.0929,0.8663,0.1068,-0.3008,1,
within_therapist,therapist_imp,,AC03V2T1_with_predictions.csv,AC09V1T1_with_predictions.csv,21.0,10.0,0.6473,0.0814,0.8275,0.0978,-0.1812,1,
within_therapist,therapist_imp,,AC03V2T1_with_predictions.csv,AC09V2T1_with_predictions.csv,21.0,11.0,0.5853,0.0874,0.9056,0.0966,-0.3625,1,
within_therapist,therapist_imp,,AC03V2T1_with_predictions.csv,AC11V1T1_with_predictions.csv,21.0,16.0,0.6266,0.0866,0.8583,0.1005,-0.1374,1,
within_therapist,therapist_imp,,AC03V2T1_with_predictions.csv,AC11V2T1_with_predictions.csv,21.0,16.0,0.619,0.09,0.867,0.1019,-0.2569,1,
within_therapist,therapist_imp,,AC03V2T1_with_predictions.csv,AC13V1T1_with_predictions.csv,21.0,12.0,0.6261,0.0875,0.8589,0.1001,-0.2213,1,
within_therapist,therapist_imp,,AC03V2T1_with_predictions.csv,AC13V2T1_with_predictions.csv,21.0,17.0,0.6198,0.0951,0.8616,0.1117,-0.3721,1,
within_therapist,therapist_imp,,AC03V2T1_with_predictions.csv,AC18V1T1_with_predictions.csv,21.0,13.0,0.6374,0.0877,0.8453,0.1033,-0.0253,1,
within_therapist,therapist_imp,,AC03V2T1_with_predictions.csv,AC18V2T1_with_predictions.csv,21.0,9.0,0.6254,0.081,0.8606,0.0927,0.08,1,
within_therapist,therapist_imp,,AC04V1T1_with_predictions.csv,AC04V2T1_with_predictions.csv,16.0,16.0,0.6269,0.0973,0.8562,0.1147,0.0371,1,
within_therapist,therapist_imp,,AC04V1T1_with_predictions.csv,AC05V1T1_with_predictions.csv,16.0,20.0,0.5998,0.0728,0.8908,0.083,-0.203,1,
within_therapist,therapist_imp,,AC04V1T1_with_predictions.csv,AC05V2T1_with_predictions.csv,16.0,21.0,0.619,0.0806,0.8679,0.094,-0.3742,1,
within_therapist,therapist_imp,,AC04V1T1_with_predictions.csv,AC09V1T1_with_predictions.csv,16.0,10.0,0.6159,0.0699,0.8652,0.085,-0.2995,1,
within_therapist,therapist_imp,,AC04V1T1_with_predictions.csv,AC09V2T1_with_predictions.csv,16.0,11.0,0.5706,0.0927,0.9212,0.1012,-0.3408,1,
within_therapist,therapist_imp,,AC04V1T1_with_predictions.csv,AC11V1T1_with_predictions.csv,16.0,16.0,0.6164,0.0758,0.8716,0.0871,-0.0136,1,
within_therapist,therapist_imp,,AC04V1T1_with_predictions.csv,AC11V2T1_with_predictions.csv,16.0,16.0,0.6159,0.0809,0.8716,0.0925,0.1268,1,
within_therapist,therapist_imp,,AC04V1T1_with_predictions.csv,AC13V1T1_with_predictions.csv,16.0,12.0,0.6069,0.0756,0.8825,0.0861,-0.2678,1,
within_therapist,therapist_imp,,AC04V1T1_with_predictions.csv,AC13V2T1_with_predictions.csv,16.0,17.0,0.6124,0.087,0.871,0.1034,-0.0999,1,
within_therapist,therapist_imp,,AC04V1T1_with_predictions.csv,AC18V1T1_with_predictions.csv,16.0,13.0,0.5984,0.0788,0.8919,0.0879,-0.2956,1,
within_therapist,therapist_imp,,AC04V1T1_with_predictions.csv,AC18V2T1_with_predictions.csv,16.0,9.0,0.5954,0.072,0.8959,0.0809,-0.3496,1,
within_therapist,therapist_imp,,AC04V2T1_with_predictions.csv,AC05V1T1_with_predictions.csv,16.0,20.0,0.6045,0.0844,0.8842,0.0951,-0.0346,1,
within_therapist,therapist_imp,,AC04V2T1_with_predictions.csv,AC05V2T1_with_predictions.csv,16.0,21.0,0.6309,0.0901,0.8528,0.1043,-0.1923,1,
within_therapist,therapist_imp,,AC04V2T1_with_predictions.csv,AC09V1T1_with_predictions.csv,16.0,10.0,0.6216,0.0734,0.8586,0.0871,-0.1892,1,
within_therapist,therapist_imp,,AC04V2T1_with_predictions.csv,AC09V2T1_with_predictions.csv,16.0,11.0,0.5848,0.0976,0.9049,0.1072,0.1413,1,
within_therapist,therapist_imp,,AC04V2T1_with_predictions.csv,AC11V1T1_with_predictions.csv,16.0,16.0,0.6291,0.0856,0.8558,0.0971,-0.2976,1,
within_therapist,therapist_imp,,AC04V2T1_with_predictions.csv,AC11V2T1_with_predictions.csv,16.0,16.0,0.6184,0.0892,0.8678,0.0999,-0.5071,1,
within_therapist,therapist_imp,,AC04V2T1_with_predictions.csv,AC13V1T1_with_predictions.csv,16.0,12.0,0.6247,0.0842,0.8611,0.0953,-0.2387,1,
within_therapist,therapist_imp,,AC04V2T1_with_predictions.csv,AC13V2T1_with_predictions.csv,16.0,17.0,0.6216,0.0934,0.8596,0.109,0.0469,1,
within_therapist,therapist_imp,,AC04V2T1_with_predictions.csv,AC18V1T1_with_predictions.csv,16.0,13.0,0.6064,0.0824,0.8825,0.0918,-0.372,1,
within_therapist,therapist_imp,,AC04V2T1_with_predictions.csv,AC18V2T1_with_predictions.csv,16.0,9.0,0.6117,0.0738,0.8774,0.0822,-0.2889,1,
within_therapist,therapist_imp,,AC05V1T1_with_predictions.csv,AC05V2T1_with_predictions.csv,20.0,21.0,0.6227,0.0755,0.8642,0.0877,-0.1899,1,
within_therapist,therapist_imp,,AC05V1T1_with_predictions.csv,AC09V1T1_with_predictions.csv,20.0,10.0,0.6108,0.0581,0.872,0.0726,-0.293,1,
within_therapist,therapist_imp,,AC05V1T1_with_predictions.csv,AC09V2T1_with_predictions.csv,20.0,11.0,0.5735,0.0778,0.9197,0.0847,0.5841,1,
within_therapist,therapist_imp,,AC05V1T1_with_predictions.csv,AC11V1T1_with_predictions.csv,20.0,16.0,0.6144,0.0662,0.875,0.0752,0.0053,1,
within_therapist,therapist_imp,,AC05V1T1_with_predictions.csv,AC11V2T1_with_predictions.csv,20.0,16.0,0.6093,0.0789,0.8794,0.0893,0.1301,1,
within_therapist,therapist_imp,,AC05V1T1_with_predictions.csv,AC13V1T1_with_predictions.csv,20.0,12.0,0.6101,0.0661,0.8799,0.0758,0.1783,1,
within_therapist,therapist_imp,,AC05V1T1_with_predictions.csv,AC13V2T1_with_predictions.csv,20.0,17.0,0.6158,0.0764,0.8685,0.0909,0.1608,1,
within_therapist,therapist_imp,,AC05V1T1_with_predictions.csv,AC18V1T1_with_predictions.csv,20.0,13.0,0.6013,0.069,0.8896,0.0775,-0.0292,1,
within_therapist,therapist_imp,,AC05V1T1_with_predictions.csv,AC18V2T1_with_predictions.csv,20.0,9.0,0.602,0.0591,0.8897,0.0668,0.112,1,
within_therapist,therapist_imp,,AC05V2T1_with_predictions.csv,AC09V1T1_with_predictions.csv,21.0,10.0,0.6304,0.0643,0.8488,0.0787,-0.2588,1,
within_therapist,therapist_imp,,AC05V2T1_with_predictions.csv,AC09V2T1_with_predictions.csv,21.0,11.0,0.5922,0.0827,0.8984,0.0914,-0.3324,1,
within_therapist,therapist_imp,,AC05V2T1_with_predictions.csv,AC11V1T1_with_predictions.csv,21.0,16.0,0.6356,0.0762,0.849,0.0899,-0.0798,1,
within_therapist,therapist_imp,,AC05V2T1_with_predictions.csv,AC11V2T1_with_predictions.csv,21.0,16.0,0.6384,0.0874,0.8441,0.1034,0.0695,1,
within_therapist,therapist_imp,,AC05V2T1_with_predictions.csv,AC13V1T1_with_predictions.csv,21.0,12.0,0.6393,0.0756,0.8447,0.0895,-0.1789,1,
within_therapist,therapist_imp,,AC05V2T1_with_predictions.csv,AC13V2T1_with_predictions.csv,21.0,17.0,0.6378,0.0831,0.8419,0.1012,-0.0682,1,
within_therapist,therapist_imp,,AC05V2T1_with_predictions.csv,AC18V1T1_with_predictions.csv,21.0,13.0,0.6265,0.0816,0.8589,0.096,-0.2059,1,
within_therapist,therapist_imp,,AC05V2T1_with_predictions.csv,AC18V2T1_with_predictions.csv,21.0,9.0,0.6224,0.0755,0.8645,0.0877,-0.0907,1,
within_therapist,therapist_imp,,AC09V1T1_with_predictions.csv,AC09V2T1_with_predictions.csv,10.0,11.0,0.6082,0.0792,0.8736,0.0954,-0.9702,1,
within_therapist,therapist_imp,,AC09V1T1_with_predictions.csv,AC11V1T1_with_predictions.csv,10.0,16.0,0.6535,0.064,0.8226,0.0822,0.1959,1,
within_therapist,therapist_imp,,AC09V1T1_with_predictions.csv,AC11V2T1_with_predictions.csv,10.0,16.0,0.6366,0.0613,0.8425,0.0764,0.0393,1,
within_therapist,therapist_imp,,AC09V1T1_with_predictions.csv,AC13V1T1_with_predictions.csv,10.0,12.0,0.6548,0.0551,0.8206,0.0698,-0.4903,1,
within_therapist,therapist_imp,,AC09V1T1_with_predictions.csv,AC13V2T1_with_predictions.csv,10.0,17.0,0.6423,0.0731,0.8305,0.0976,0.02,1,
within_therapist,therapist_imp,,AC09V1T1_with_predictions.csv,AC18V1T1_with_predictions.csv,10.0,13.0,0.6652,0.0722,0.806,0.0889,-0.3564,1,
within_therapist,therapist_imp,,AC09V1T1_with_predictions.csv,AC18V2T1_with_predictions.csv,10.0,9.0,0.6534,0.0561,0.8222,0.0713,-0.3182,1,
within_therapist,therapist_imp,,AC09V2T1_with_predictions.csv,AC11V1T1_with_predictions.csv,11.0,16.0,0.6082,0.0815,0.8804,0.0924,-0.0989,1,
within_therapist,therapist_imp,,AC09V2T1_with_predictions.csv,AC11V2T1_with_predictions.csv,11.0,16.0,0.5868,0.0914,0.9036,0.0991,-0.1406,1,
within_therapist,therapist_imp,,AC09V2T1_with_predictions.csv,AC13V1T1_with_predictions.csv,11.0,12.0,0.6006,0.0764,0.8896,0.0859,0.0013,1,
within_therapist,therapist_imp,,AC09V2T1_with_predictions.csv,AC13V2T1_with_predictions.csv,11.0,17.0,0.5995,0.0817,0.8863,0.096,0.1768,1,
within_therapist,therapist_imp,,AC09V2T1_with_predictions.csv,AC18V1T1_with_predictions.csv,11.0,13.0,0.5856,0.0791,0.9061,0.0886,-0.2814,1,
within_therapist,therapist_imp,,AC09V2T1_with_predictions.csv,AC18V2T1_with_predictions.csv,11.0,9.0,0.592,0.0684,0.9002,0.0758,-0.2135,1,
within_therapist,therapist_imp,,AC11V1T1_with_predictions.csv,AC11V2T1_with_predictions.csv,16.0,16.0,0.6383,0.0829,0.8451,0.096,0.0214,1,
within_therapist,therapist_imp,,AC11V1T1_with_predictions.csv,AC13V1T1_with_predictions.csv,16.0,12.0,0.6393,0.0636,0.8459,0.0767,-0.3042,1,
within_therapist,therapist_imp,,AC11V1T1_with_predictions.csv,AC13V2T1_with_predictions.csv,16.0,17.0,0.6397,0.081,0.8398,0.0997,-0.1755,1,
within_therapist,therapist_imp,,AC11V1T1_with_predictions.csv,AC18V1T1_with_predictions.csv,16.0,13.0,0.6415,0.0819,0.8411,0.0978,-0.3402,1,
within_therapist,therapist_imp,,AC11V1T1_with_predictions.csv,AC18V2T1_with_predictions.csv,16.0,9.0,0.6413,0.0622,0.8436,0.0757,0.0908,1,
within_therapist,therapist_imp,,AC11V2T1_with_predictions.csv,AC13V1T1_with_predictions.csv,16.0,12.0,0.6279,0.0776,0.8579,0.0901,-0.2591,1,
within_therapist,therapist_imp,,AC11V2T1_with_predictions.csv,AC13V2T1_with_predictions.csv,16.0,17.0,0.6296,0.0885,0.8509,0.1051,-0.0773,1,
within_therapist,therapist_imp,,AC11V2T1_with_predictions.csv,AC18V1T1_with_predictions.csv,16.0,13.0,0.6261,0.0811,0.8596,0.0935,-0.1188,1,
within_therapist,therapist_imp,,AC11V2T1_with_predictions.csv,AC18V2T1_with_predictions.csv,16.0,9.0,0.6198,0.0768,0.8675,0.088,-0.4013,1,
within_therapist,therapist_imp,,AC13V1T1_with_predictions.csv,AC13V2T1_with_predictions.csv,12.0,17.0,0.6472,0.0804,0.8306,0.0982,-0.4302,1,
within_therapist,therapist_imp,,AC13V1T1_with_predictions.csv,AC18V1T1_with_predictions.csv,12.0,13.0,0.652,0.0743,0.8295,0.0888,-0.2074,1,
within_therapist,therapist_imp,,AC13V1T1_with_predictions.csv,AC18V2T1_with_predictions.csv,12.0,9.0,0.6529,0.062,0.8297,0.0757,-0.1023,1,
within_therapist,therapist_imp,,AC13V2T1_with_predictions.csv,AC18V1T1_with_predictions.csv,17.0,13.0,0.632,0.0843,0.8485,0.1009,-0.1522,1,
within_therapist,therapist_imp,,AC13V2T1_with_predictions.csv,AC18V2T1_with_predictions.csv,17.0,9.0,0.6321,0.0703,0.85,0.084,0.2646,1,
within_therapist,therapist_imp,,AC18V1T1_with_predictions.csv,AC18V2T1_with_predictions.csv,13.0,9.0,0.666,0.0813,0.8109,0.102,0.0531,1,
within_therapist,therapist_imp,,AC06V1T2_with_predictions.csv,AC06V2T2_with_predictions.csv,14.0,8.0,0.6774,0.0895,0.7959,0.109,-0.877,2,
within_therapist,therapist_imp,,AC06V1T2_with_predictions.csv,AC07V1T2_with_predictions.csv,14.0,17.0,0.6037,0.072,0.8866,0.0818,-0.3881,2,
within_therapist,therapist_imp,,AC06V1T2_with_predictions.csv,AC07V2T2_with_predictions.csv,14.0,13.0,0.5887,0.0814,0.9025,0.09,-0.2198,2,
within_therapist,therapist_imp,,AC06V1T2_with_predictions.csv,AC08V1T2_with_predictions.csv,14.0,19.0,0.6534,0.0745,0.8218,0.0942,-0.3399,2,
within_therapist,therapist_imp,,AC06V1T2_with_predictions.csv,AC08V2T2_with_predictions.csv,14.0,23.0,0.6404,0.0818,0.8424,0.0978,-0.0502,2,
within_therapist,therapist_imp,,AC06V1T2_with_predictions.csv,AC12V1T2_with_predictions.csv,14.0,7.0,0.5668,0.0629,0.9283,0.0675,-0.3039,2,
within_therapist,therapist_imp,,AC06V1T2_with_predictions.csv,AC12V2T2_with_predictions.csv,14.0,4.0,0.5632,0.1043,0.9271,0.1192,-0.3884,2,
within_therapist,therapist_imp,,AC06V2T2_with_predictions.csv,AC07V1T2_with_predictions.csv,8.0,17.0,0.5856,0.084,0.9057,0.0919,-0.7334,2,
within_therapist,therapist_imp,,AC06V2T2_with_predictions.csv,AC07V2T2_with_predictions.csv,8.0,13.0,0.5784,0.0832,0.9138,0.0897,-0.459,2,
within_therapist,therapist_imp,,AC06V2T2_with_predictions.csv,AC08V1T2_with_predictions.csv,8.0,19.0,0.6299,0.0918,0.8475,0.1123,-0.1774,2,
within_therapist,therapist_imp,,AC06V2T2_with_predictions.csv,AC08V2T2_with_predictions.csv,8.0,23.0,0.6296,0.0988,0.8529,0.115,-0.4353,2,
within_therapist,therapist_imp,,AC06V2T2_with_predictions.csv,AC12V1T2_with_predictions.csv,8.0,7.0,0.572,0.0785,0.9214,0.0841,-0.5756,2,
within_therapist,therapist_imp,,AC06V2T2_with_predictions.csv,AC12V2T2_with_predictions.csv,8.0,4.0,0.5484,0.1071,0.9425,0.1221,0.2289,2,
within_therapist,therapist_imp,,AC07V1T2_with_predictions.csv,AC07V2T2_with_predictions.csv,17.0,13.0,0.5506,0.0902,0.943,0.0974,0.1814,2,
within_therapist,therapist_imp,,AC07V1T2_with_predictions.csv,AC08V1T2_with_predictions.csv,17.0,19.0,0.5771,0.0768,0.9083,0.0946,-0.2228,2,
within_therapist,therapist_imp,,AC07V1T2_with_predictions.csv,AC08V2T2_with_predictions.csv,17.0,23.0,0.5582,0.0791,0.9362,0.0848,-0.1702,2,
within_therapist,therapist_imp,,AC07V1T2_with_predictions.csv,AC12V1T2_with_predictions.csv,17.0,7.0,0.5217,0.063,0.9759,0.0643,-0.6084,2,
within_therapist,therapist_imp,,AC07V1T2_with_predictions.csv,AC12V2T2_with_predictions.csv,17.0,4.0,0.5181,0.0853,0.9776,0.0899,-0.1,2,
within_therapist,therapist_imp,,AC07V2T2_with_predictions.csv,AC08V1T2_with_predictions.csv,13.0,19.0,0.5784,0.084,0.9061,0.1021,-0.1382,2,
within_therapist,therapist_imp,,AC07V2T2_with_predictions.csv,AC08V2T2_with_predictions.csv,13.0,23.0,0.5616,0.0806,0.9323,0.0874,-0.0222,2,
within_therapist,therapist_imp,,AC07V2T2_with_predictions.csv,AC12V1T2_with_predictions.csv,13.0,7.0,0.5172,0.0629,0.9806,0.0645,-0.5222,2,
within_therapist,therapist_imp,,AC07V2T2_with_predictions.csv,AC12V2T2_with_predictions.csv,13.0,4.0,0.5141,0.0905,0.9812,0.0954,0.6441,2,
within_therapist,therapist_imp,,AC08V1T2_with_predictions.csv,AC08V2T2_with_predictions.csv,19.0,23.0,0.6314,0.0903,0.8455,0.1134,0.155,2,
within_therapist,therapist_imp,,AC08V1T2_with_predictions.csv,AC12V1T2_with_predictions.csv,19.0,7.0,0.5473,0.0732,0.9407,0.0918,-0.0966,2,
within_therapist,therapist_imp,,AC08V1T2_with_predictions.csv,AC12V2T2_with_predictions.csv,19.0,4.0,0.5518,0.1,0.9327,0.1207,0.013,2,
within_therapist,therapist_imp,,AC08V2T2_with_predictions.csv,AC12V1T2_with_predictions.csv,23.0,7.0,0.5399,0.0743,0.9561,0.0781,-0.5327,2,
within_therapist,therapist_imp,,AC08V2T2_with_predictions.csv,AC12V2T2_with_predictions.csv,23.0,4.0,0.5328,0.0965,0.9607,0.1072,-0.6015,2,
within_therapist,therapist_imp,,AC12V1T2_with_predictions.csv,AC12V2T2_with_predictions.csv,7.0,4.0,0.513,0.0871,0.9829,0.0887,-0.852,2,
within_therapist,therapist_imp,,AC14V1T3_with_predictions.csv,AC14V2T3_with_predictions.csv,4.0,4.0,0.6597,0.0643,0.821,0.081,0.102,3,
